"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verkehr und Lagerei","Tonne","48.748.952,06",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gastgewerbe/Beherbergung und Gastronomie","Tonne","133.657,02",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Information und Kommunikation","Tonne","131.625,79",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von Finanz- und Versicherungsdienstleistungen","Tonne","75.525,11",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Grundstücks- und Wohnungswesen","Tonne","111.118,35",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen","Tonne","185.951,3",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Tonne","280.780,16",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Öffentliche Verwaltung, Verteidigung; Sozialversicherung","Tonne","289.388,46",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erziehung und Unterricht","Tonne","127.182,9",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gesundheits- und Sozialwesen","Tonne","220.112,37",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Kunst, Unterhaltung und Erholung","Tonne","66.768,39",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen Dienstleistungen","Tonne","97.044,93",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch Private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt","Tonne","0",""
"2008","Dänemark","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Exterritoriale Organisationen und Körperschaften","Tonne","0",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Insgesamt - alle NACE-Wirtschaftszweige","Tonne","830.219.150,29",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Land- und Forstwirtschaft, Fischerei","Tonne","72.073.920,37",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Bergbau und Gewinnung von Steinen und Erden","Tonne","12.852.808,93",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verarbeitendes Gewerbe/Herstellung von Waren","Tonne","189.981.547,77",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Energieversorgung","Tonne","363.279.658,7",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen","Tonne","25.968.851,75",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Baugewerbe/Bau","Tonne","8.829.005,88",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Handel; Instandhaltung und Reparatur von Kraftfahrzeugen","Tonne","17.185.608,73",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verkehr und Lagerei","Tonne","92.947.795,04",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gastgewerbe/Beherbergung und Gastronomie","Tonne","3.517.138,44",""
"2008","Deutschland (bis 1990 früheres Gebiet der BRD)","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Information und Kommunikation","Tonne","4.112.210,68",""
