"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2016","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","570,14",""
"2016","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.339,60",""
"2016","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.554,00",""
"2016","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.466,59",""
"2016","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","248,20",""
"2016","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.613,43",""
"2016","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","554,00",""
"2016","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.317,64",""
"2016","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.004,00","b"
"2016","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","444,00",""
"2016","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.314,89",""
"2016","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","63,14",""
"2016","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","412,31",""
"2016","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","694,80",""
"2016","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","202,41",""
"2016","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","852,00",""
"2016","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14,36",""
"2016","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","4.294,00",""
"2016","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.954,39",""
"2016","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.970,20",""
"2016","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.635,01",""
"2016","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.049,70",""
"2016","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","488,60",""
"2016","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","446,11",""
"2016","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","887,25",""
"2016","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.436,05",""
"2016","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.806,00",""
"2016","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","79,90",""
